id_penjualan,id_invoice,tanggal,id_barang,nama_barang,harga,unit,jumlah_barang,total_harga_per_barang,mata_uang,kode_barang,brand_id,id_customer,nama_customer,cabang_sales,id_distributor,group_category
IN5997_BRG0001,IN5997,2022-1-20,BRG0001,"ACYCLOVIR DUS","1169,91",DUS,1,1169,IDR,BRG0001,BRND001,CUST55380,"APOTEK TAPAK",Aceh,TD,Apotek
IN6297_BRG0002,IN6297,2022-1-20,BRG0002,"ALERGINE TABLET SALUT","2337,5",DUS,5,11685,IDR,BRG0002,BRND002,CUST55381,"APOTEK MAJA",Kuningan,TD,Apotek
IN6155_BRG0003,IN6155,2022-1-21,BRG0003,AMPICILLIN,"10690,6",DUS,9,96210,IDR,BRG0003,BRND003,CUST55382,"KLINIK GM",Jakarta,TA,Klinik
IN6144_BRG0004,IN6144,2022-1-22,BRG0004,"TRAMADOL KAPSUL 50 MG","8700,7",DUS,13,113100,IDR,BRG0004,BRND004,CUST55383,"APOTEK MERDEKA",Bandung,EPM,Apotek
IN6280_BRG0005,IN6280,2022-1-23,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG","5648,3",DUS,1,5648,IDR,BRG0005,BRND005,CUST55384,"KLINIK SAHABAT",Tangerang,TD,Klinik
IN6052_BRG0006,IN6052,2022-1-23,BRG0006,"KETOCONAZOLE TABLET 200 MG","2819,2",DUS,5,14095,IDR,BRG0006,BRND006,CUST55385,"APOTEK SINAR JAYA",Bekasi,TA,Apotek
IN6089_BRG0007,IN6089,2022-1-25,BRG0007,"ERGOTAMINE COFFEINE","4592,1",DUS,9,41328,IDR,BRG0007,BRND007,CUST55386,"APOTEK SAHABAT",Padang,EPM,Apotek
IN6251_BRG0008,IN6251,2022-1-23,BRG0008,"TETRACYCLINE KAPSUL 250 MG","3991,9",DUS,1,3991,IDR,BRG0008,BRND008,CUST55387,"APOTEK TAPAK",Aceh,TD,Apotek
IN6036_BRG0009,IN6036,2022-1-27,BRG0009,"AMBROXOL HC","5780,7",DUS,23,132940,IDR,BRG0009,BRND009,CUST55388,"APOTEK MAJA",Kuningan,TA,Apotek
IN6029_BRG0010,IN6029,2022-1-28,BRG0010,PARACETAMOL,"6940,3",DUS,4,27760,IDR,BRG0010,BRND010,CUST55389,"KLINIK GM",Jakarta,EPM,Klinik
IN6190_BRG0001,IN6190,2022-1-23,BRG0001,"ACYCLOVIR DUS","1169,91",DUS,2,2338,IDR,BRG0001,BRND001,CUST55390,"APOTEK MERDEKA",Bandung,TD,Apotek
IN6287_BRG0002,IN6287,2022-1-30,BRG0002,"ALERGINE TABLET SALUT","2337,5",DUS,17,39729,IDR,BRG0002,BRND002,CUST55391,"KLINIK SAHABAT",Tangerang,TD,Klinik
IN6102_BRG0003,IN6102,2022-1-31,BRG0003,AMPICILLIN,"10690,6",DUS,11,117590,IDR,BRG0003,BRND003,CUST55392,"APOTEK SINAR JAYA",Bekasi,TA,Apotek
IN6301_BRG0004,IN6301,2022-2-1,BRG0004,"TRAMADOL KAPSUL 50 MG","8700,7",DUS,12,104400,IDR,BRG0004,BRND004,CUST55393,"APOTEK SAHABAT",Padang,EPM,Apotek
